evidence_set,dataset,alternatives,criteria,decision_makers,target_alt,clean_target_rank,M1_target_rank,M1_target_error,M1_blocked,M2_target_rank,M2_target_error,M2_blocked,M3_target_rank,M3_target_error,M3_blocked,M4_target_rank,M4_target_error,M4_blocked,M5_target_rank,M5_target_error,M5_blocked,M6_target_rank,M6_target_error,M6_blocked,M7_target_rank,M7_target_error,M7_blocked
post_fix_focused_30x200,car_evaluation,300,6,15,Car_1_unacc,300,24,276.000,False,180,124.400±5.908,False,300,0.000,True,300,0.000±0.000,True,192,108.000±0.000,False,300,0.000±0.000,True,300,0.000±0.000,True
post_fix_focused_30x200,healthcare_countries_2021,26,13,15,Romania,26,1,25.000,False,7,18.633±0.482,False,26,0.000,True,26,0.000±0.000,True,5,21.000±0.000,False,26,0.000±0.000,True,26,0.000±0.000,True
post_fix_focused_30x200,healthcare_resource_allocation,300,18,15,衡水市_2008,300,1,299.000,False,52,246.600±4.521,False,300,0.000,True,300,0.000±0.000,True,16,284.000±0.000,False,300,0.000±0.000,True,300,0.000±0.000,True
post_fix_focused_30x200,supplier_beg_rashid,4,4,2,A1,4,1,3.000±0.000,False,1,3.000±0.000,False,1,3.000±0.000,False,1,3.000±0.000,False,1,3.000±0.000,False,1,3.000±0.000,False,1,3.000±0.000,False
post_fix_focused_30x200,supplier_wu,4,4,2,A1,4,1,3.000±0.000,False,1,2.967±0.180,False,1,3.000±0.000,False,1,3.000±0.000,False,1,3.000±0.000,False,1,3.000±0.000,False,2,2.200±0.400,False
light_all_datasets_5x50,car_evaluation,80,6,15,Car_1_unacc,80,1,79.000±0.000,False,31,45.400±3.878,False,80,0.000±0.000,True,80,0.000±0.000,True,31,49.000±0.000,False,80,0.000±0.000,True,80,0.000±0.000,True
light_all_datasets_5x50,healthcare_countries_2021,26,13,15,Romania,26,1,25.000±0.000,False,7,18.800±0.400,False,26,0.000±0.000,True,26,0.000±0.000,True,5,21.000±0.000,False,26,0.000±0.000,True,26,0.000±0.000,True
light_all_datasets_5x50,healthcare_resource_allocation,80,18,15,邯郸市_2008,80,1,79.000±0.000,False,26,50.800±2.786,False,80,0.000±0.000,True,80,0.000±0.000,True,26,54.000±0.000,False,80,0.000±0.000,True,80,0.000±0.000,True
light_all_datasets_5x50,supplier_beg_rashid,4,4,2,A1,4,1,3.000±0.000,False,1,2.800±0.400,False,1,3.000±0.000,False,1,3.000±0.000,False,1,3.000±0.000,False,1,3.000±0.000,False,1,3.000±0.000,False
light_all_datasets_5x50,supplier_wu,4,4,2,A1,4,1,3.000±0.000,False,1,2.800±0.400,False,1,3.000±0.000,False,1,3.000±0.000,False,1,3.000±0.000,False,1,3.000±0.000,False,2,2.200±0.400,False
